"n","lambda","rep","mse_e","mse_m0","mse_m1","num_leaves_e","num_leaves_m0","num_leaves_m1"
400,0.5,15,0.00128653947387614,0.00734105895560568,0.00467475173546165,0,0,0
800,0.5,15,0.00066463996145432,0.00315398395647841,0.00147507844608247,0,0,0
1600,0.5,15,0.00106040895785926,0.000632673274120382,0.00242005328556387,0,0,0
3200,0.5,15,0.000612056636837528,0.00050563658400185,7.6257177180974e-05,0,0,0
400,0.01,16,0.00338390254964211,0.00413090042535594,0.0065276605639047,0,0,0
800,0.01,16,0.00341912753201629,0.00224840166086916,0.00366726637011759,0,0,0
1600,0.01,16,0.000346791332370151,0.00251674113398353,0.000789292008058688,0,0,0
3200,0.01,16,0.000187542827882408,0.000256101753779708,0.000391041605782484,0,0,0
400,0.05,16,0.00196777961473866,0.00670430759313993,0.00647221817894009,0,0,0
800,0.05,16,0.00125478042874785,0.00814050998966801,0.00052221395565924,0,0,0
1600,0.05,16,0.000499036852394993,0.00290027613408453,0.00246795783494028,0,0,0
3200,0.05,16,0.000165338865671804,0.000418235146500828,0.000983101589167175,0,0,0
400,0.1,16,0.00243663371739383,0.00328461913162747,0.00748933971741875,0,0,0
800,0.1,16,0.000601471212645923,0.00356221719755459,0.00649784700889601,0,0,0
1600,0.1,16,0.000207471067556697,0.00261672690321105,0.000445569102730682,0,0,0
3200,0.1,16,0.000394696650885494,0.000631783364398105,0.000166960574554555,0,0,0
400,0.2,16,0.00439663658046609,0.00197172952096063,0.0148957219694666,0,0,0
800,0.2,16,0.00286381348991838,0.00363490270280717,0.00090908277369674,0,0,0
1600,0.2,16,0.00117771638702107,0.00162425378868657,0.0020270733233469,0,0,0
3200,0.2,16,5.09032594754661e-05,0.000687893963244237,0.00115703244396127,0,0,0
400,0.5,16,0.0051645987174356,0.00722423897458551,0.008186388095206,0,0,0
800,0.5,16,0.00214361510007758,0.00451519638815012,0.00100360160723267,0,0,0
1600,0.5,16,9.83332562733297e-05,0.000781573494161414,0.00150722697680617,0,0,0
3200,0.5,16,0.000688704611350536,0.00110085469757715,0.000346739819407812,0,0,0
400,0.01,17,0.00181202327063639,0.00410931018067469,0.000119276677164868,0,0,0
800,0.01,17,0.00310571765447603,0.00388574090389534,0.00318866112937711,0,0,0
1600,0.01,17,0.00166836236767289,0.00112195945094531,0.00130439213116938,0,0,0
3200,0.01,17,8.746256401139e-05,0.00157705681819868,0.000522274337525302,0,0,0
400,0.05,17,0.00169403807746401,0.00965400419229836,0.00696599987599079,0,0,0
800,0.05,17,0.000406935954033992,0.00342781347277671,0.00261622410912825,0,0,0
1600,0.05,17,0.000926479714516487,0.00310279592338035,0.0019944731890038,0,0,0
3200,0.05,17,0.000378932449742593,0.000822060855488477,0.000616185835975756,0,0,0
400,0.1,17,0.0063419837984993,0.00648820075952043,0.0044292250791065,0,0,0
800,0.1,17,0.00137162439825698,0.00413867508990867,0.00460768037343287,0,0,0
1600,0.1,17,0.000961910843390445,0.00137186502466924,0.00167191905714956,0,0,0
